"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"360";"8";"Hladno Pivo TV+";"Music";206000;209;2,02e+08;2020-12-06;"http://www.youtube.com/channel/UC9A6xd17wrIhR1FnjE7879A"
"361";"9";"Disney Queen";"People & Blogs";206000;139;1,55e+08;2021-03-02;"http://www.youtube.com/channel/UCyGFZ2SQkAyOQllKcDESYeg"
"362";"9";"zvjezd01";"Music";206000;491;4,48e+08;2021-06-07;"http://www.youtube.com/channel/UCkAnkfLWm6ZHtL96HrgHtSg"
"363";"9";"Bloger Krule";"Comedy";206000;37;2,36e+08;2021-04-14;"http://www.youtube.com/channel/UC8trLmjW5OILi0yJQrGNJVA"
"364";"9";"Croatia Sarar";"Travel & Events";202000;578;182000;2021-05-13;"http://www.youtube.com/channel/UCPL_CvxcO_FJV3r4WbshkSA"
"365";"9";"CoolChannel4";"News & Politics";202000;277;1,11e+08;2020-04-07;"http://www.youtube.com/channel/UCV-BRkOREKihyQGMnwEZySA"
"366";"9";"Parni Valjak";"Music";2e+05;49;1,5e+08;2020-04-07;"http://www.youtube.com/channel/UC0iD2_BdZ08AFhXFhUpZsVw"
"367";"9";"dm Hrvatska";"Howto & Style";199000;2836;1,58e+08;2021-05-10;"http://www.youtube.com/channel/UCfPgKkDa_Y_QGzZV6RjLVxw"
"368";"9";"Ariana Fabric";"People & Blogs";199000;61;1,55e+08;2021-02-01;"http://www.youtube.com/channel/UC8v3s07ss-IXfQD1Jan9LDA"
"369";"9";"zzumche";"Gaming";197000;1764;6,09e+08;2021-05-09;"http://www.youtube.com/channel/UCp8BwRat-2d8UH6e968WymQ"
"370";"9";"Maradin Dario";"People & Blogs";197000;219;2,38e+08;2021-05-19;"http://www.youtube.com/channel/UC1fHXWD_XUpCsm8A4gzAMuA"
"371";"9";"Garage workshop";"People & Blogs";197000;22;5,07e+08;2019-08-30;"http://www.youtube.com/channel/UCplBsIo7rM-wtUzhLBWKugg"
"372";"9";"Tata Black";"Gaming";196000;65;211000;2021-05-18;"http://www.youtube.com/channel/UCIYoieCAcqFpAbvrDl4vw0A"
"373";"9";"Ivo Jaric";"Sports";195000;194;2,42e+08;2021-06-07;"http://www.youtube.com/channel/UCeNsFSwexuQ9WcKtp9Rxl_w"
"374";"9";"Matea Gabud";"Sports";195000;16;131000;2020-07-13;"http://www.youtube.com/channel/UCxEMJMSyxwAvg0fPO3lHOcw"
"375";"9";"Dennis M";"People & Blogs";194000;15;509000;2021-05-02;"http://www.youtube.com/channel/UCnvfVQMLMvinPi7UqdbBEwA"
"376";"9";"dexter punk";"Music";194000;48;1,68e+08;2017-01-19;"http://www.youtube.com/channel/UCSd7t3UQnLX_bgwGh8GpJ6Q"
"377";"9";"Art Of Sound And Vision";"Music";192000;481;9,08e+08;2021-05-08;"http://www.youtube.com/channel/UCOVxXP-khCEv4bl7JVxP9AA"
"378";"9";"Radio Banovina";"Entertainment";191000;2216;8,19e+08;2021-05-14;"http://www.youtube.com/channel/UCAWctRYQuRLIO5ZmXwhFZGQ"
"379";"9";"DinoNerds";"Gaming";189000;364;2,21e+08;2021-05-16;"http://www.youtube.com/channel/UCvAcOOYGOTvVSCnbK10tzeQ"
"380";"9";"woahscape";"Gaming";188000;8;1,42e+08;2021-02-17;"http://www.youtube.com/channel/UC9k7yrMoTTa2AtfPbo2lWQg"
"381";"10";"Tribina";"Sports";186000;635;4,76e+08;2021-05-10;"http://www.youtube.com/channel/UCjTiZ9ebMJumhPMsciuevxg"
"382";"10";"Ganga Beats";"Music";185000;266;3,6e+08;2021-05-06;"http://www.youtube.com/channel/UCYHA0Hl3-TRk1p1BZi_tEjQ"
"383";"10";"Mladen 365";"Science & Technology";184000;522;1,1e+08;2021-05-12;"http://www.youtube.com/channel/UCLZRcJZPkeZFTKFdZTzaCbQ"
"384";"10";"live4trucking";"Entertainment";183000;318;3,59e+08;2021-05-09;"http://www.youtube.com/channel/UCRR17neu9tPo5Fzdl5n8rYQ"
"385";"10";"Mario Medariæ";"People & Blogs";183000;152;1,32e+08;2021-05-16;"http://www.youtube.com/channel/UCHD67qUua0cpc6kXb9CijHQ"
