"";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1132";"bbdozagreb";"Entertainment";749;170;2140000;"2021-04-09";"http://www.youtube.com/channel/UCVRsAhyHC9rqy_EpzIKYt-A"
"1133";"Blacky_Rose";"Film and Animation";740;31;27800;"2021-05-15";"http://www.youtube.com/channel/UCrKQwJJArcWjMkL7PRoqAQQ"
"1134";"The Aco";"Gaming";737;138;12600;"2021-04-17";"http://www.youtube.com/channel/UCBOkU4o0XQ6DHTlqXdSsWaA"
"1135";"Role10";"Sports";725;44;178000;"2021-05-14";"http://www.youtube.com/channel/UC1DAMxFyA25kprsw_UKVh-w"
"1136";"vj partyman";"Music";721;150;185000;"2021-05-16";"http://www.youtube.com/channel/UC62jgD4BzQ3datmXa2TST8A"
"1137";"Bal kan";"Music";716;30;3210;"2021-06-04";"http://www.youtube.com/channel/UCcQi7O0DnZ0dx31s36egJXQ"
"1138";"Croatia adventurer";"People & Blogs";711;89;33000;"2021-04-25";"http://www.youtube.com/channel/UCpK28cc_4TXSiDxqkBR90ZA"
"1139";"BLACK PREDATOR BEAT PROMOTION";"Music";706;424;85800;"2020-11-15";"http://www.youtube.com/channel/UCBFKWTR7Sz6PaZpX1omAPYA"
"1140";"fra Drago Ljevar";"Education";692;1165;606000;"2021-03-26";"http://www.youtube.com/channel/UCWYXBETZf7rqLAvVkt3zk9A"
"1141";"PaKic";"Gaming";688;107;20800;"2021-04-20";"http://www.youtube.com/channel/UCt7d4-kl8TjAAKNgxwlwVqQ"
