"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"488";"25";"Zele";"Music";168000;24;633000;2017-02-10;"http://www.youtube.com/channel/UCyW38uv17OdXVNNYVYLC3xA"
"489";"25";"ROKYBEAR";"Gaming";170000;NA;671;2021-04-20;"http://www.youtube.com/channel/UCiVShVcAoqK1lF-9aJhYADQ"
"490";"25";"SHIRO plays";"Gaming";171000;216;312000;2020-10-11;"http://www.youtube.com/channel/UCL-dnoNZT6tu4B5mxBZQ9gg"
"491";"25";"Lion game Lion";"Gaming";171000;10;149000;2017-10-03;"http://www.youtube.com/channel/UCL0Mai0KPnavWpOzQl4lKdA"
"492";"25";"Rezus63";"Gaming";173000;127;263000;2020-11-25;"http://www.youtube.com/channel/UCBem4lnUOKk7xUz5zewPFTA"
"493";"25";"Antiša";"Education";174000;18;104000;2021-05-05;"http://www.youtube.com/channel/UC_4ZX3U1FciTE_L7rNd9cDg"
"494";"25";"domovinski rat";"News & Politics";174000;111;1,91e+08;2012-03-29;"http://www.youtube.com/channel/UCobEpiUmZ3l6CIPLsivZq6Q"
"495";"25";"Franz";"Music";175000;78;759000;2020-02-10;"http://www.youtube.com/channel/UCJPNUIFEK3bC5RpkAuJWYuQ"
"496";"25";"Jeremy&Luigi";"Pets & Animals";175000;152;372000;2018-05-31;"http://www.youtube.com/channel/UCLGIMv-ABpIGKN7x_N9BpUA"
"497";"25";"Leoo Yt";"People & Blogs";176000;5;186000;2020-05-21;"http://www.youtube.com/channel/UC2f1-nmNOlWS4Gph4rmP7iQ"
"498";"25";"Enjoy Drawing with Mary";"Entertainment";177000;96;877000;2021-05-18;"http://www.youtube.com/channel/UCHPiD4W74vqubgkhv3goZtQ"
"499";"25";"maracm";"Music";178000;371;1,98e+08;2021-03-16;"http://www.youtube.com/channel/UCiR1CwbYGUpiCo8W3TOQvvg"
"500";"25";"Kasko";"Music";179000;22;133000;2021-02-08;"http://www.youtube.com/channel/UCUOdhRB2ae9_a9xAwCl_TRw"
"501";"26";"Damir Vogrinec";"Music";179000;58;312000;2020-11-25;"http://www.youtube.com/channel/UCiK1npXOx6J9nuG8DdMHiBA"
"502";"26";"MaryjaMery";"Music";180000;13;1,48e+08;2016-01-10;"http://www.youtube.com/channel/UCSA-Hbh2lV9WsND8Tj11wvg"
"503";"26";"Klc-Marin Railfan";"Autos & Vehicles";181000;371;912000;2021-05-16;"http://www.youtube.com/channel/UCqT--OL3DrEqkX2MLbzYpiA"
"504";"26";"Zetich Gaming";"News & Politics";182000;52;1,31e+08;2020-08-22;"http://www.youtube.com/channel/UCwcx4sXSuumA1fjfYjC27oA"
"505";"26";"KRC CREW";"Sports";183000;16;425000;2019-10-30;"http://www.youtube.com/channel/UCKDNMk4R5WqcA0d_S0snBxw"
"506";"26";"Ivan Krolo";"Entertainment";184000;349;597000;2021-04-04;"http://www.youtube.com/channel/UCfnivqtIl0mzZYuskrx1AJA"
"507";"26";"Compy_HR";"Autos & Vehicles";184000;167;2,48e+08;2021-05-15;"http://www.youtube.com/channel/UC7PkoO3MF9i87cqMIwWrkZg"
"508";"26";"Igor Puskaric";"Film and Animation";185000;104;155000;2021-05-01;"http://www.youtube.com/channel/UCyRH3Up5LQ5xgRPsNWuPEkQ"
"509";"26";"Akvaristièke Prièe";"Pets & Animals";185000;70;198000;2021-05-18;"http://www.youtube.com/channel/UCzend9WJRSl35GaF6tUH1rA"
"510";"26";"balkanSLAV Gaming";"Gaming";186000;324;146000;2021-05-21;"http://www.youtube.com/channel/UCiXDBDW7K72o_OWnG1ofS1Q"
"511";"26";"Jura Puclin";"Music";186000;22;146000;2020-06-11;"http://www.youtube.com/channel/UC90eP9nI0WTJDd0v8cZwGww"
"512";"26";"Bezbroj Videa";"Entertainment";186000;921;931000;2020-08-12;"http://www.youtube.com/channel/UCk-wq_X5U-e9nNrgfxNQCgg"
"513";"26";"Kajfolk";"Music";186000;534;2,02e+08;2019-06-14;"http://www.youtube.com/channel/UCqRBjvbLNOisBnKy99aUdwA"
"514";"26";"SUPER FOX LEGEND";"Entertainment";187000;385;618000;2021-05-15;"http://www.youtube.com/channel/UC24saZ0T5Vg05MODQ7M6FcQ"
"515";"26";"Mirjana's video cro";"People & Blogs";187000;1080;188000;2021-05-15;"http://www.youtube.com/channel/UCRAr8pRCa57r5taihMOgZyg"
"516";"26";"Gablec Review";"People & Blogs";187000;3;125000;2020-09-19;"http://www.youtube.com/channel/UCfdd6Adln7gjQNedAZm5rRQ"
"517";"26";"Ljubica Slavonka";"Music";187000;172;1,82e+08;2021-05-04;"http://www.youtube.com/channel/UCe6srZ6_QOUAIbPcKwKYSLg"
"518";"26";"LPS Ä<U+008C>arolija";"Entertainment";188000;347;304000;2020-08-06;"http://www.youtube.com/channel/UCArVXaWr_9LgWI1DlItxDPA"
"519";"26";"DAVE IT WORK IT";"Science & Technology";188000;15;737000;2017-09-03;"http://www.youtube.com/channel/UC0IVQplf3OOrzbmS-xiqU-A"
"520";"26";"Feel Your Meal";"Howto & Style";190000;126;248000;2021-05-10;"http://www.youtube.com/channel/UCVUMo8wWanEH4Tz5yWaBKug"
"521";"27";"Krug prijatelja Brune Gröninga";"Nonprofits & Activism";190000;72;210000;2021-05-01;"http://www.youtube.com/channel/UCfCtf5jy9RkrHKqgG3Fjxlw"
"522";"27";"Vico";"Education";192000;92;689000;2020-09-27;"http://www.youtube.com/channel/UC3_VBrUAaNdlUq1FuclUFog"
"523";"27";"Fiumanka";"Sports";193000;85;191000;2020-10-04;"http://www.youtube.com/channel/UCPKfFBWotvNLPQBZ1TQ4pYg"
"524";"27";"A sad mi daj njen broj";"Gaming";194000;0;0;2021-01-02;"http://www.youtube.com/channel/UCSYlR5qgPCmZD0lJ0UGXaVw"
"525";"27";"File001";"Nonprofits & Activism";195000;195;332000;2021-05-12;"http://www.youtube.com/channel/UC7aKRz7AOj3tTaBwQdSmS-w"
